"","V1","V2","V3"
"503","Ivan Rybkin’s Bloc","1995","94321"
"504","Russia’s Democratic Choice – United Democrats","1995","94427"
"505","Zhirinovsky Bloc","1999","94710"
"506","Just Russia","2009","94901"
"507","United Russia","2007","94951"
"508","Choice For a Better Life – Boris Tadic","2012","95041"
"509","Turnover – Cedomir Jovanovic","2012","95042"
"510","Boris Tadic, Cedomir Jovanovic – Alliance for a Better Serbia","2016","95043"
"511","For a just Serbia (DS, Nova, DSHV, ZZS)","2016","95044"
"512","Dveri – DPS – Sanda Raskovic Ivic – Bosko Obradovic","2016","95066"
"513","Let's get Serbia moving - Tomislav Nikolic","2012","95070"
"514","Aleksandar Vucic - The future in which we believe","2015","95071"
"515","Vojvodina Coalition","1997","95091"
"516","Green Party","2016","95100"
"517","Coalition of Socialist Party of Serbia, Yugoslav Left and New Democracy","1997","95229"
"518","Civic Alliance of Serbia","1993","95421"
"519","Now it’s enough – Sasa Radulovic","2016","95440"
"520","G17plus","2005","95450"
"521","None-of-the-above","2012","95720"
"522","Hungarian Coalition","2008","95901"
"523","Bosniak Democratic Community of Sandzak","2016","95903"
"524","Democratic Community of Magyars of Vojvodina","1991","95951"
"525","Coalition of Albanian Parties","1993","95954"
"526","Party for Democratic Activity","1993","95955"
"527","Green Party of Slovakia","1990","96111"
"528","Workers’ Association of Slovakia","1994","96210"
"529","Party of the Democratic Left","1995","96220"
"530","Common Choice","1994","96221"
"531","Communist Party of Slovakia","2002","96222"
"532","Democratic Party","1990","96420"
"533","Party of Civic Understanding","1998","96422"
"534","Direction-Social Democracy","2009","96423"
"535","Public Against Violence","1990","96430"
"536","Network","2016","96630"
"537","National Democratic Party - New Alternative","1994","96712"
"538","Coexistence","1993","96951"
"539","Coalition of Coexistence and the Hungarian Christian-Democratic Movement","1997","96952"
"540","Hungarian Christian Democratic Movement","1994","96953"
"541","Greens of Slovenia","1991","97110"
"542","Social-Democratic Party of Slovenia","1994","97320"
"543","Associated List of Social Democrats","1998","97321"
"544","Social Democratic Party","2007","97322"
"545","Slovenian Democratic Party","2007","97330"
"546","Democratic Party of Slovenia","1991","97430"
"547","For Real","2009","97440"
"548","Gregor Virant's Civic List","2011","97450"
"549","Slovenian Christian Democrats","1992","97520"
"550","New Slovenian Christian People’s Party","2005","97522"
"551","Democratic Party of Pensioners of Slovenia","2003","97951"
"552","Lytvyn Bloc","2007","98081"
"553","Green Party of Ukraine","1998","98111"
"554","Communist Party of Ukraine","2001","98221"
"555","Socialist Party of Ukraine","2002","98321"
"556","Progressive Socialist Party of Ukraine","1998","98322"
"557","Bloc Socialist Party of Ukraine and Peasant Party of Ukraine","1998","98323"
"558","All-Ukrainian Association ‘Community'","1998","98324"
"559","Social Democractic Party of Ukraine","1994","98325"
"560","Labour Party","1994","98423"
"561","Civic Congress of Ukraine","1994","98424"
"562","People’s Democratic Party of Ukraine","1998","98426"
"563","For a United Ukraine!","2002","98429"
"564","Agrarian Party of Ukraine","1998","98811"
"565","Democratic Labour Party","2004","113320"
"566","United Progressive Party","2012","113321"
"567","Justice Party","2016","113322"
"568","Democratic Party","1994","113420"
"569","National Congress for New Politics","1996","113421"
"570","Uri Party","2004","113422"
"571","Millenium Democratic Party","2002","113430"
"572","United Democratic Party","2010","113440"
"573","Democratic Party","2016","113441"
"574","People's Party","2016","113442"
"575","Democratic Liberal Party","1992","113620"
"576","National Unification Party","1992","113621"
"577","New Korea Party","1996","113622"
"578","Grand National Party","2008","113630"
"579","United Liberal Party","2000","113650"
"580","Liberty Forward Party","2010","113651"
"581","Alliance for Mexico 2000","2000","171031"
"582","Alliance for Mexico 2006","2009","171032"
"583","Coalition ‘For the Good of All'","2006","171033"
"584","Coalition ‘We save Mexico'","2009","171034"
"585","Progressive Movement","2012","171035"
"586","Mexican Green Ecologist Party","2007","171101"
"587","Mexican Communist Party","1979","171201"
"588","Revolutionary Workers’ Party","1985","171202"
"589","Unified Socialist Party of Mexico","1983","171203"
"590","National Regeneration Movement","2015","171210"
"591","Institutional Revolutionary Party","1984","171301"
"592","Popular Socialist Party","1981","171302"
"593","Workers’ Socialist Party","1985","171304"
"594","Democratic Revolutionary Party","2003","171305"
"595","Labor Party","2005","171306"
"596","National Democratic Front","1988","171307"
"597","Mexican Workers’ Party","1985","171308"
"598","New Alliance Party","2010","171309"
"599","Social Democratic and Farmer Alternative Party","2007","171310"
"600","Convergence for Democracy","2009","171311"
"601","National Action Party","1980","171601"
"602","Economic Freedom Fighters","2014","181210"
"603","African National Congress","2004","181310"
"604","Democratic Alliance","2009","181411"
"605","Congress of the People","2011","181420"
